"system/cpu/cpuidle/current_governor_ro","qcom"
"system/cpu/cpu3/cpuidle/state1/latency","531"
"system/cpu/cpu3/cpuidle/state1/usage","1216230"
"system/cpu/cpu3/cpuidle/state1/desc","rail-pc"
"system/cpu/cpu3/cpuidle/state1/below","0"
"system/cpu/cpu3/cpuidle/state1/name","C1"
"system/cpu/cpu3/cpuidle/state1/s2idle/time","0"
"system/cpu/cpu3/cpuidle/state1/s2idle/usage","0"
"system/cpu/cpu3/cpuidle/driver/name","msm_idle"
"system/cpu/cpu3/cpuidle/state0/disable","0"
"system/cpu/cpu3/cpuidle/state0/above","0"
"system/cpu/cpu3/cpuidle/state0/time","8440943023"
"system/cpu/cpu3/cpuidle/state0/power","0"
"system/cpu/cpu3/cpuidle/state0/residency","0"
"system/cpu/cpu3/cpuidle/state0/latency","43"
"system/cpu/cpu3/cpuidle/state0/usage","8641570"
"system/cpu/cpu3/cpuidle/state0/desc","wfi"
"system/cpu/cpu3/cpuidle/state0/below","7236534"
"system/cpu/cpu3/cpuidle/state0/name","C0"
"system/cpu/cpu3/uevent","OF_NAME=cpu
OF_FULLNAME=/cpus/cpu@300
OF_TYPE=cpu
OF_COMPATIBLE_0=qcom,kryo
OF_COMPATIBLE_N=1
MODALIAS=cpu:type:aarch64:feature:,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,000A,000B,000C,000F,0010,0014"
"system/cpu/cpu3/hotplug/target","211"
"system/cpu/cpu3/hotplug/state","211"
"system/cpu/cpu3/hotplug/fail","-1"
"system/cpu/cpu3/sched_load_boost","0"
"system/cpu/cpu3/power/runtime_active_time","0"
"system/cpu/cpu3/power/pm_qos_resume_latency_us","0"
"system/cpu/cpu3/power/runtime_status","unsupported"
"system/cpu/cpu3/power/autosuspend_delay_ms",""
"system/cpu/cpu3/power/runtime_suspended_time","0"
"system/cpu/cpu3/power/control","auto"
"system/cpu/cpu3/online","1"
"system/cpu/cpu3/topology/die_id","-1"
"system/cpu/cpu3/topology/physical_package_id","0"
"system/cpu/cpu3/topology/core_cpus_list","3"
"system/cpu/cpu3/topology/die_cpus_list","3"
"system/cpu/cpu3/topology/core_siblings","0f"
"system/cpu/cpu3/topology/core_siblings_list","0-3"
"system/cpu/cpu3/topology/package_cpus","0f"
"system/cpu/cpu3/topology/package_cpus_list","0-3"
"system/cpu/cpu3/topology/die_cpus","08"
"system/cpu/cpu3/topology/thread_siblings_list","3"
"system/cpu/cpu3/topology/core_id","3"
